ID,Name,parentID,Type,Class,parentRelation,context
ANGULAR:1,Angular,ANGULAR:0,concept,concept,subconcept_of,Angular
ANGULAR:2,Pipes,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:3,Navigation,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:4,Forms,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:5,Server Side Communication,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:6,Testing,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:7,Typescript,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:8,Fundamentals and Architecture,ANGULAR:1,concept,concept,subconcept_of,Angular
ANGULAR:9,Getting Started,ANGULAR:1,concept,concept,subconcept_of,Angular
